1;Precentral_L;Frontal;-39;-6;51
2;Precentral_R;Frontal;41;-8;52
3;Frontal_Sup_L;Frontal;-18;35;42
4;Frontal_Sup_R;Frontal;22;31;44
5;Frontal_Sup_Orb_L;Frontal;-17;47;-13
6;Frontal_Sup_Orb_R;Frontal;18;48;-14
7;Frontal_Mid_L;Frontal;-33;33;35
8;Frontal_Mid_R;Frontal;38;33;34
9;Frontal_Mid_Orb_L;Frontal;-31;50;-10
10;Frontal_Mid_Orb_R;Frontal;33;53;-11
11;Frontal_Inf_Oper_L;Frontal;-48;13;19
12;Frontal_Inf_Oper_R;Frontal;50;15;21
13;Frontal_Inf_Tri_L;Frontal;-46;30;14
14;Frontal_Inf_Tri_R;Frontal;50;30;14
15;Frontal_Inf_Orb_L;Frontal;-36;31;-12
16;Frontal_Inf_Orb_R;Frontal;41;32;-12
17;Rolandic_Oper_L;Frontal;-47;-8;14
18;Rolandic_Oper_R;Frontal;53;-6;15
19;Supp_Motor_Area_L;Frontal;-5;5;61
20;Supp_Motor_Area_R;Frontal;9;0;62
21;Olfactory_L;Frontal;-8;15;-11
22;Olfactory_R;Frontal;10;16;-11
23;Frontal_Sup_Medial_L;Frontal;-5;49;31
24;Frontal_Sup_Medial_R;Frontal;9;51;30
25;Frontal_Med_Orb_L;Frontal;-5;54;-7
26;Frontal_Med_Orb_R;Frontal;8;52;-7
27;Rectus_L;Frontal;-5;37;-18
28;Rectus_R;Frontal;8;36;-18
29;Insula_L;Insula;-35;7;3
30;Insula_R;Insula;39;6;2
31;Cingulum_Ant_L;Cingulate;-4;35;14
32;Cingulum_Ant_R;Cingulate;8;37;16
33;Cingulum_Mid_L;Cingulate;-5;-15;42
34;Cingulum_Mid_R;Cingulate;8;-9;40
35;Cingulum_Post_L;Cingulate;-5;-43;25
36;Cingulum_Post_R;Cingulate;7;-42;22
37;Hippocampus_L;DeepGreyMatter;-25;-21;-10
38;Hippocampus_R;DeepGreyMatter;29;-20;-10
39;ParaHippocampal_L;Temporal;-21;-16;-21
40;ParaHippocampal_R;Temporal;25;-15;-20
41;Amygdala_L;DeepGreyMatter;-23;-1;-17
42;Amygdala_R;DeepGreyMatter;27;1;-18
43;Calcarine_L;Occipital;-7;-79;6
44;Calcarine_R;Occipital;16;-73;9
45;Cuneus_L;Occipital;-6;-80;27
46;Cuneus_R;Occipital;14;-79;28
47;Lingual_L;Occipital;-15;-68;-5
48;Lingual_R;Occipital;16;-67;-4
49;Occipital_Sup_L;Occipital;-17;-84;28
50;Occipital_Sup_R;Occipital;24;-81;31
51;Occipital_Mid_L;Occipital;-32;-81;16
52;Occipital_Mid_R;Occipital;37;-80;19
53;Occipital_Inf_L;Occipital;-36;-78;-8
54;Occipital_Inf_R;Occipital;38;-82;-8
55;Fusiform_L;Temporal;-31;-40;-20
56;Fusiform_R;Temporal;34;-39;-20
57;Postcentral_L;Parietal;-42;-23;49
58;Postcentral_R;Parietal;41;-25;53
59;Parietal_Sup_L;Parietal;-23;-60;59
60;Parietal_Sup_R;Parietal;26;-59;62
61;Parietal_Inf_L;Parietal;-43;-46;47
62;Parietal_Inf_R;Parietal;46;-46;50
63;SupraMarginal_L;Parietal;-56;-34;30
64;SupraMarginal_R;Parietal;58;-32;34
65;Angular_L;Parietal;-44;-61;36
66;Angular_R;Parietal;46;-60;39
67;Precuneus_L;Parietal;-7;-56;48
68;Precuneus_R;Parietal;10;-56;44
69;Paracentral_Lobule_L;Frontal;-8;-25;70
70;Paracentral_Lobule_R;Frontal;7;-32;68
71;Caudate_L;DeepGreyMatter;-11;11;9
72;Caudate_R;DeepGreyMatter;15;12;9
73;Putamen_L;DeepGreyMatter;-24;4;2
74;Putamen_R;DeepGreyMatter;28;5;2
75;Pallidum_L;DeepGreyMatter;-18;0;0
76;Pallidum_R;DeepGreyMatter;21;0;0
77;Thalamus_L;DeepGreyMatter;-11;-18;8
78;Thalamus_R;DeepGreyMatter;13;-18;8
79;Heschl_L;Temporal;-42;-19;10
80;Heschl_R;Temporal;46;-17;10
81;Temporal_Sup_L;Temporal;-53;-21;7
82;Temporal_Sup_R;Temporal;58;-22;7
83;Temporal_Pole_Sup_L;Temporal;-40;15;-20
84;Temporal_Pole_Sup_R;Temporal;48;15;-17
85;Temporal_Mid_L;Temporal;-56;-34;-2
86;Temporal_Mid_R;Temporal;57;-37;-1
87;Temporal_Pole_Mid_L;Temporal;-36;15;-34
88;Temporal_Pole_Mid_R;Temporal;44;15;-32
89;Temporal_Inf_L;Temporal;-50;-28;-23
90;Temporal_Inf_R;Temporal;54;-31;-22
91;Cerebellum_Crus1_L;Cerebellum;-35;-67;-29
92;Cerebellum_Crus1_R;Cerebellum;38;-67;-30
93;Cerebellum_Crus2_L;Cerebellum;-28;-73;-38
94;Cerebellum_Crus2_R;Cerebellum;33;-69;-40
95;Cerebellum_3_L;Cerebellum;-8;-37;-19
96;Cerebellum_3_R;Cerebellum;13;-34;-19
97;Cerebellum_4_5_L;Cerebellum;-14;-43;-17
98;Cerebellum_4_5_R;Cerebellum;18;-43;-18
99;Cerebellum_6_L;Cerebellum;-22;-59;-22
100;Cerebellum_6_R;Cerebellum;26;-58;-24
101;Cerebellum_7b_L;Cerebellum;-31;-60;-45
102;Cerebellum_7b_R;Cerebellum;34;-63;-48
103;Cerebellum_8_L;Cerebellum;-25;-55;-48
104;Cerebellum_8_R;Cerebellum;26;-56;-49
105;Cerebellum_9_L;Cerebellum;-10;-49;-46
106;Cerebellum_9_R;Cerebellum;10;-49;-46
107;Cerebellum_10_L;Cerebellum;-22;-34;-42
108;Cerebellum_10_R;Cerebellum;27;-34;-41
109;Vermis_1_2;Cerebellum;2;-39;-20
110;Vermis_3;Cerebellum;2;-40;-11
111;Vermis_4_5;Cerebellum;2;-52;-6
112;Vermis_6;Cerebellum;2;-67;-15
113;Vermis_7;Cerebellum;2;-72;-25
114;Vermis_8;Cerebellum;2;-64;-34
115;Vermis_9;Cerebellum;2;-55;-35
116;Vermis_10;Cerebellum;1;-46;-32